Pivot Field Names (group),Pivot Field Names,Player,Team1,5v5 TOI,Pivot Field Values
General Offense,Rebounds Created/60,Trevor van Riemsdyk,WSH,338.65,0.103927599
General Offense,Chance Assists/60,Trevor van Riemsdyk,WSH,338.65,0.022318262
General Offense,Chances/60,Trevor van Riemsdyk,WSH,338.65,-0.571861642
General Offense,Chance Contributions/60,Trevor van Riemsdyk,WSH,338.65,-0.351144331
General Offense,Total Shot Contributions/60,Trevor van Riemsdyk,WSH,338.65,0.382400324
General Offense,Primary Contributions/60,Trevor van Riemsdyk,WSH,338.65,0.376058592
General Offense,Shot Assists/60,Trevor van Riemsdyk,WSH,338.65,0.430547143
General Offense,Shots/60,Trevor van Riemsdyk,WSH,338.65,0.178019086
General Offense,Rebounds Created/60,Tom Wilson,WSH,283.5833333,-0.395709755
General Offense,Chance Assists/60,Tom Wilson,WSH,283.5833333,-0.357127735
General Offense,Chances/60,Tom Wilson,WSH,283.5833333,0.30911581
General Offense,Chance Contributions/60,Tom Wilson,WSH,283.5833333,-0.005853377
General Offense,Total Shot Contributions/60,Tom Wilson,WSH,283.5833333,0.268762424
General Offense,Primary Contributions/60,Tom Wilson,WSH,283.5833333,0.074611433
General Offense,Shot Assists/60,Tom Wilson,WSH,283.5833333,-0.008364177
General Offense,Shots/60,Tom Wilson,WSH,283.5833333,0.122636208
General Offense,Rebounds Created/60,Taylor Raddysh,WSH,247.7166667,-0.796939479
General Offense,Chance Assists/60,Taylor Raddysh,WSH,247.7166667,0.043468983
General Offense,Chances/60,Taylor Raddysh,WSH,247.7166667,-0.152439683
General Offense,Chance Contributions/60,Taylor Raddysh,WSH,247.7166667,-0.072328812
General Offense,Total Shot Contributions/60,Taylor Raddysh,WSH,247.7166667,0.594648711
General Offense,Primary Contributions/60,Taylor Raddysh,WSH,247.7166667,-0.065900914
General Offense,Shot Assists/60,Taylor Raddysh,WSH,247.7166667,0.072814638
General Offense,Shots/60,Taylor Raddysh,WSH,247.7166667,-0.169232536
General Offense,Rebounds Created/60,Rasmus Sandin,WSH,359.9833333,0.530596316
General Offense,Chance Assists/60,Rasmus Sandin,WSH,359.9833333,0.194782552
General Offense,Chances/60,Rasmus Sandin,WSH,359.9833333,-0.058099011
General Offense,Chance Contributions/60,Rasmus Sandin,WSH,359.9833333,0.073487154
General Offense,Total Shot Contributions/60,Rasmus Sandin,WSH,359.9833333,1.033528069
General Offense,Primary Contributions/60,Rasmus Sandin,WSH,359.9833333,0.8771151
General Offense,Shot Assists/60,Rasmus Sandin,WSH,359.9833333,0.8646948
General Offense,Shots/60,Rasmus Sandin,WSH,359.9833333,0.545094742
General Offense,Rebounds Created/60,Pierre-Luc Dubois,WSH,290.3666667,0.770486477
General Offense,Chance Assists/60,Pierre-Luc Dubois,WSH,290.3666667,0.748624835
General Offense,Chances/60,Pierre-Luc Dubois,WSH,290.3666667,0.621195551
General Offense,Chance Contributions/60,Pierre-Luc Dubois,WSH,290.3666667,0.819677887
General Offense,Total Shot Contributions/60,Pierre-Luc Dubois,WSH,290.3666667,0.930700347
General Offense,Primary Contributions/60,Pierre-Luc Dubois,WSH,290.3666667,0.936809421
