meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,meeting_name
1229,9472,16,2,2024-03-02T15:05:21.019000+00:00,31.166,41.864,23.832,,240,False,96.862,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048]",293.0,Bahrain Grand Prix
1229,9472,16,3,2024-03-02T15:06:57.933000+00:00,31.223,42.856,23.983,234.0,256,False,98.062,"[2048, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",296.0,Bahrain Grand Prix
1229,9472,16,4,2024-03-02T15:08:36.013000+00:00,30.958,42.784,24.01,233.0,242,False,97.752,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, None, None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048]",313.0,Bahrain Grand Prix
1229,9472,16,5,2024-03-02T15:10:13.780000+00:00,31.192,42.872,24.067,232.0,242,False,98.131,"[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",298.0,Bahrain Grand Prix
1229,9472,16,6,2024-03-02T15:11:51.804000+00:00,30.936,42.751,24.095,230.0,242,False,97.782,"[2049, 2049, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",312.0,Bahrain Grand Prix
1229,9472,16,7,2024-03-02T15:13:29.724000+00:00,31.008,43.761,24.188,231.0,246,False,98.957,"[None, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049]",310.0,Bahrain Grand Prix
1229,9472,16,8,2024-03-02T15:15:08.572000+00:00,31.2,42.753,24.183,232.0,258,False,98.136,"[None, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",316.0,Bahrain Grand Prix
1229,9472,16,9,2024-03-02T15:16:46.813000+00:00,31.147,42.533,24.164,229.0,258,False,97.844,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",314.0,Bahrain Grand Prix
1229,9472,16,10,2024-03-02T15:18:24.582000+00:00,30.988,42.534,24.362,230.0,254,False,97.884,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",316.0,Bahrain Grand Prix
1229,9472,16,11,2024-03-02T15:20:02.545000+00:00,32.241,42.647,26.849,229.0,255,False,101.737,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",297.0,Bahrain Grand Prix
1229,9472,16,12,2024-03-02T15:21:44.282000+00:00,51.178,42.371,23.922,234.0,257,True,117.471,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",220.0,Bahrain Grand Prix
1229,9472,16,13,2024-03-02T15:23:41.713000+00:00,30.58,42.173,23.679,235.0,254,False,96.432,"[2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2049, 2048]",314.0,Bahrain Grand Prix
1229,9472,16,14,2024-03-02T15:25:18.300000+00:00,30.787,42.232,23.737,236.0,247,False,96.756,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",305.0,Bahrain Grand Prix
1229,9472,16,15,2024-03-02T15:26:54.922000+00:00,30.831,42.256,23.726,,244,False,96.813,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",298.0,Bahrain Grand Prix
1229,9472,16,16,2024-03-02T15:28:31.703000+00:00,30.606,42.32,23.747,,259,False,96.673,"[None, 2049, 2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048]",320.0,Bahrain Grand Prix
1229,9472,16,17,2024-03-02T15:30:08.227000+00:00,31.109,42.332,23.861,233.0,246,False,97.302,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",318.0,Bahrain Grand Prix
1229,9472,16,18,2024-03-02T15:31:45.651000+00:00,31.18,42.467,23.791,,243,False,97.438,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",298.0,Bahrain Grand Prix
1229,9472,16,19,2024-03-02T15:33:23.136000+00:00,30.986,42.03,23.805,234.0,262,False,96.821,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",,Bahrain Grand Prix
1229,9472,16,20,2024-03-02T15:34:59.925000+00:00,30.839,42.103,23.852,,262,False,96.794,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",299.0,Bahrain Grand Prix
1229,9472,16,21,2024-03-02T15:36:36.698000+00:00,31.089,42.091,23.797,,258,False,96.977,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",300.0,Bahrain Grand Prix
1229,9472,16,22,2024-03-02T15:38:13.647000+00:00,30.994,41.976,23.826,,257,False,96.796,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",299.0,Bahrain Grand Prix
1229,9472,16,23,2024-03-02T15:39:50.476000+00:00,31.131,41.941,23.915,235.0,261,False,96.987,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",300.0,Bahrain Grand Prix
1229,9472,16,24,2024-03-02T15:41:27.495000+00:00,31.083,41.904,23.937,234.0,258,False,96.924,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",298.0,Bahrain Grand Prix
1229,9472,16,25,2024-03-02T15:43:04.442000+00:00,31.059,41.828,23.873,,259,False,96.76,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",299.0,Bahrain Grand Prix
1229,9472,16,26,2024-03-02T15:44:41.174000+00:00,30.991,41.901,23.918,,259,False,96.81,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",300.0,Bahrain Grand Prix
1229,9472,16,27,2024-03-02T15:46:18.033000+00:00,31.081,41.881,23.869,235.0,260,False,96.831,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049]",301.0,Bahrain Grand Prix
1229,9472,16,28,2024-03-02T15:47:54.787000+00:00,31.019,41.971,23.917,234.0,261,False,96.907,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",300.0,Bahrain Grand Prix
1229,9472,16,29,2024-03-02T15:49:31.662000+00:00,30.974,42.065,23.924,236.0,259,False,96.963,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",,Bahrain Grand Prix
1229,9472,16,30,2024-03-02T15:51:08.688000+00:00,31.134,42.03,23.994,235.0,260,False,97.158,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",301.0,Bahrain Grand Prix
