date,session_key,meeting_key,driver_number,pit_duration,lap_number,meeting_name
2024-03-02T15:22:06.457000+00:00,9472,1229,16,24.0,11,Bahrain Grand Prix
2024-03-02T15:59:38.514000+00:00,9472,1229,16,24.1,34,Bahrain Grand Prix
2024-03-09T17:15:55.889000+00:00,9480,1230,16,23.4,7,Saudi Arabian Grand Prix
2024-03-24T04:16:00.710000+00:00,9488,1231,16,17.4,9,Australian Grand Prix
2024-03-24T04:50:53.181000+00:00,9488,1231,16,17.3,34,Australian Grand Prix
2024-04-07T05:32:37.738000+00:00,9496,1232,16,1583.3,1,Japanese Grand Prix
2024-04-07T06:15:25.709000+00:00,9496,1232,16,23.2,26,Japanese Grand Prix
2024-05-05T20:33:18.881000+00:00,9507,1234,16,21.8,19,Miami Grand Prix
2024-05-19T13:37:46.511000+00:00,9515,1235,16,30.1,25,Emilia Romagna Grand Prix
2024-05-26T13:44:08.648000+00:00,9523,1236,16,2358.0,1,Monaco Grand Prix
2024-06-09T18:42:23.162000+00:00,9531,1237,16,24.0,25,Canadian Grand Prix
2024-06-09T18:48:19.047000+00:00,9531,1237,16,47.1,28,Canadian Grand Prix
2024-06-09T18:53:57.163000+00:00,9531,1237,16,24.6,31,Canadian Grand Prix
2024-06-23T13:36:12.078000+00:00,9539,1238,16,22.2,24,Spanish Grand Prix
2024-06-23T14:07:06.625000+00:00,9539,1238,16,21.6,47,Spanish Grand Prix
2024-06-30T13:04:53.204000+00:00,9550,1239,16,31.9,1,Austrian Grand Prix
2024-06-30T13:23:00.965000+00:00,9550,1239,16,21.6,16,Austrian Grand Prix
2024-06-30T13:43:26.505000+00:00,9550,1239,16,22.2,33,Austrian Grand Prix
2024-06-30T14:04:54.872000+00:00,9550,1239,16,20.9,51,Austrian Grand Prix
2024-07-07T14:33:20.548000+00:00,9558,1240,16,28.4,19,British Grand Prix
2024-07-07T14:47:47.730000+00:00,9558,1240,16,29.2,27,British Grand Prix
2024-07-07T15:05:10.357000+00:00,9558,1240,16,29.1,37,British Grand Prix
2024-07-21T13:35:53.032000+00:00,9566,1241,16,21.8,23,Hungarian Grand Prix
2024-07-21T13:59:51.867000+00:00,9566,1241,16,21.7,40,Hungarian Grand Prix
2024-07-28T13:26:17.756000+00:00,9574,1242,16,22.9,12,Belgian Grand Prix
2024-07-28T13:50:03.231000+00:00,9574,1242,16,23.3,25,Belgian Grand Prix
2024-08-25T13:34:18.648000+00:00,9582,1243,16,20.8,24,Dutch Grand Prix
2024-09-01T13:25:17.176000+00:00,9590,1244,16,24.5,15,Italian Grand Prix
2024-09-15T11:33:34.615000+00:00,9598,1245,16,20.6,16,Azerbaijan Grand Prix
2024-09-22T13:03:59.209000+00:00,9606,1246,16,29.0,36,Singapore Grand Prix
2024-10-20T19:49:45.215000+00:00,9617,1247,16,23.8,26,United States Grand Prix
2024-10-27T20:50:53.944000+00:00,9625,1248,16,22.8,31,Mexico City Grand Prix
2024-10-27T21:42:27.842000+00:00,9625,1248,16,22.6,69,Mexico City Grand Prix
2024-11-03T16:24:31.631000+00:00,9636,1249,16,24.5,24,São Paulo Grand Prix
2024-11-03T17:02:36.466000+00:00,9636,1249,16,1420.2,32,São Paulo Grand Prix
2024-11-24T06:19:06.103000+00:00,9644,1250,16,21.3,9,Las Vegas Grand Prix
2024-11-24T06:55:28.138000+00:00,9644,1250,16,21.5,31,Las Vegas Grand Prix
2024-12-01T16:57:32.593000+00:00,9655,1251,16,28.4,35,Qatar Grand Prix
2024-12-01T17:00:06.458000+00:00,9655,1251,16,25.6,36,Qatar Grand Prix
2024-12-01T17:02:56.722000+00:00,9655,1251,16,28.9,37,Qatar Grand Prix
2024-12-08T13:34:35.126000+00:00,9662,1252,16,21.8,20,Abu Dhabi Grand Prix
