playoff_round,round_name,conference,slot,away,home,away_wins,home_wins,projected_winner,away_series_win_prob,home_series_win_prob,avg_remaining_games,projected_avg_games_in_series,projected_mean_games_in_series,projected_rounded_games_in_series,prob_series_goes_seven,historical_mean_games_per_series_5yr,historical_prob_series_goes_seven_5yr,historical_mean_total_goals_per_series_5yr,projected_total_goals_series,projected_goals_per_game
1,Round 1,East,R1-A2v3,MTL,TBL,0,0,TBL,0.15,0.85,5.5,5.5,5.5,6,0.1775,5.7867,0.266667,34.7733,33.3,6.05
1,Round 1,East,R1-M1,OTT,CAR,0,0,CAR,0.1675,0.8325,5.47,5.47,5.47,5,0.2125,5.7867,0.266667,34.7733,33.3,6.09
1,Round 1,East,R1-M2,BOS,BUF,0,0,BOS,0.965,0.03500000000000003,5.07,5.07,5.07,5,0.1125,5.7867,0.266667,34.7733,30.1,5.94
1,Round 1,East,R1-M2v3,PHI,PIT,0,0,PIT,0.0325,0.9675,5.01,5.01,5.01,5,0.1,5.7867,0.266667,34.7733,29.8,5.93
1,Round 1,West,R1-C2v3,MIN,DAL,0,0,DAL,0.38,0.62,5.91,5.91,5.91,6,0.3525,5.7867,0.266667,34.7733,35.6,6.02
1,Round 1,West,R1-M1,LAK,COL,0,0,COL,0.035,0.965,4.94,4.94,4.94,5,0.0775,5.7867,0.266667,34.7733,29.9,6.06
1,Round 1,West,R1-M2,UTA,VGK,0,0,VGK,0.265,0.735,5.66,5.66,5.66,6,0.2475,5.7867,0.266667,34.7733,34.3,6.06
1,Round 1,West,R1-P2v3,ANA,EDM,0,0,ANA,0.65,0.35,5.85,5.85,5.85,6,0.32,5.7867,0.266667,34.7733,35.1,5.99
2,Round 2,East,R2-E1,CAR,PHI,0,0,CAR,0.9225,0.07750000000000001,5.28,5.28,5.28,5,0.1875,5.7867,0.266667,34.7733,32.3,6.12
2,Round 2,East,R2-E1,CAR,PIT,0,0,CAR,0.5725,0.4275,5.74,5.74,5.74,6,0.275,5.7867,0.266667,34.7733,34.9,6.09
2,Round 2,East,R2-E1,OTT,PHI,0,0,OTT,0.9325,0.0675,5.17,5.17,5.17,5,0.1225,5.7867,0.266667,34.7733,30.6,5.92
2,Round 2,East,R2-E1,OTT,PIT,0,0,PIT,0.1975,0.8025,5.61,5.61,5.61,6,0.28,5.7867,0.266667,34.7733,33.6,5.98
2,Round 2,East,R2-E2,BOS,MTL,0,0,BOS,0.715,0.28500000000000003,5.74,5.74,5.74,6,0.29,5.7867,0.266667,34.7733,34.2,5.97
2,Round 2,East,R2-E2,BOS,TBL,0,0,TBL,0.0625,0.9375,5.19,5.19,5.19,5,0.155,5.7867,0.266667,34.7733,31.0,5.97
2,Round 2,East,R2-E2,BUF,MTL,0,0,BUF,0.555,0.44499999999999995,5.81,5.81,5.81,6,0.305,5.7867,0.266667,34.7733,35.1,6.03
2,Round 2,East,R2-E2,BUF,TBL,0,0,BUF,0.64,0.36,5.78,5.78,5.78,6,0.305,5.7867,0.266667,34.7733,34.7,6.01
2,Round 2,West,R2-W1,COL,DAL,0,0,COL,0.7775,0.22250000000000003,5.64,5.64,5.64,6,0.275,5.7867,0.266667,34.7733,33.7,5.98
