season,team,conference,division,points,games_played,wins,losses,ot_losses,points_pct,goals_for,goals_against,goal_diff,league_rank_points,division_rank,conference_rank,made_playoffs,playoff_series_wins,won_round_1,won_round_2,won_conference,won_final,won_cup
20202021,COL,,WST,82,56,39,13,4,0.732143,197,133,64,1,1,99,1,1,1,0,0,0,0
20202021,VGK,,WST,82,56,40,14,2,0.732143,191,124,67,2,2,99,1,2,1,1,0,0,0
20202021,CAR,,CEN,80,56,36,12,8,0.714286,179,136,43,3,1,99,1,1,1,0,0,0,0
20202021,FLA,,CEN,79,56,37,14,5,0.705357,189,153,36,4,2,99,1,0,0,0,0,0,0
20202021,PIT,,EST,77,56,37,16,3,0.6875,196,156,40,5,1,99,1,0,0,0,0,0,0
20202021,TOR,,NTH,77,56,35,14,7,0.6875,187,148,39,6,1,99,1,0,0,0,0,0,0
20202021,WSH,,EST,77,56,36,15,5,0.6875,191,163,28,7,2,99,1,0,0,0,0,0,0
20202021,TBL,,CEN,75,56,36,17,3,0.669643,181,147,34,8,3,99,1,4,1,1,1,1,1
20202021,MIN,,WST,75,56,35,16,5,0.669643,181,160,21,9,3,99,1,0,0,0,0,0,0
20202021,BOS,,EST,73,56,33,16,7,0.651786,168,136,32,10,3,99,1,1,1,0,0,0,0
20202021,EDM,,NTH,72,56,35,19,2,0.642857,183,154,29,11,2,99,1,0,0,0,0,0,0
20202021,NYI,,EST,71,56,32,17,7,0.633929,156,128,28,12,4,99,1,2,1,1,0,0,0
20202021,NSH,,CEN,64,56,31,23,2,0.571429,156,154,2,13,4,99,1,0,0,0,0,0,0
20202021,WPG,,NTH,63,56,30,23,3,0.5625,170,154,16,14,3,99,1,1,1,0,0,0,0
20202021,STL,,WST,63,56,27,20,9,0.5625,169,170,-1,15,4,99,1,0,0,0,0,0,0
20202021,NYR,,EST,60,56,27,23,6,0.535714,177,157,20,16,5,99,0,0,0,0,0,0,0
20202021,DAL,,CEN,60,56,23,19,14,0.535714,158,154,4,17,5,99,0,0,0,0,0,0,0
20202021,MTL,,NTH,59,56,24,21,11,0.526786,159,168,-9,18,4,99,1,3,1,1,1,0,0
20202021,PHI,,EST,58,56,25,23,8,0.517857,163,201,-38,19,6,99,0,0,0,0,0,0,0
20202021,CGY,,NTH,55,56,26,27,3,0.491071,156,161,-5,20,5,99,0,0,0,0,0,0,0
20202021,CHI,,CEN,55,56,24,25,7,0.491071,161,186,-25,21,6,99,0,0,0,0,0,0,0
20202021,ARI,,WST,54,56,24,26,6,0.482143,153,176,-23,22,5,99,0,0,0,0,0,0,0
20202021,OTT,,NTH,51,56,23,28,5,0.455357,157,190,-33,23,6,99,0,0,0,0,0,0,0
20202021,VAN,,NTH,50,56,23,29,4,0.446429,151,188,-37,24,7,99,0,0,0,0,0,0,0
20202021,LAK,,WST,49,56,21,28,7,0.4375,143,170,-27,25,6,99,0,0,0,0,0,0,0
20202021,SJS,,WST,49,56,21,28,7,0.4375,151,199,-48,26,7,99,0,0,0,0,0,0,0
20202021,DET,,CEN,48,56,19,27,10,0.428571,127,171,-44,27,7,99,0,0,0,0,0,0,0
20202021,CBJ,,CEN,48,56,18,26,12,0.428571,137,187,-50,28,8,99,0,0,0,0,0,0,0
20202021,NJD,,EST,45,56,19,30,7,0.401786,145,194,-49,29,7,99,0,0,0,0,0,0,0
20202021,ANA,,WST,43,56,17,30,9,0.383929,126,179,-53,30,8,99,0,0,0,0,0,0,0
20202021,BUF,,EST,37,56,15,34,7,0.330357,138,199,-61,31,8,99,0,0,0,0,0,0,0
20212022,FLA,E,A,122,82,58,18,6,0.743902,340,246,94,1,1,1,1,1,1,0,0,0,0
20212022,COL,W,C,119,82,56,19,7,0.72561,312,234,78,2,1,1,1,4,1,1,1,1,1
20212022,CAR,E,M,116,82,54,20,8,0.707317,278,202,76,3,1,2,1,1,1,0,0,0,0
20212022,TOR,E,A,115,82,54,21,7,0.70122,315,253,62,4,2,3,1,0,0,0,0,0,0
20212022,MIN,W,C,113,82,53,22,7,0.689024,310,253,57,5,2,2,1,0,0,0,0,0,0
20212022,CGY,W,P,111,82,50,21,11,0.676829,293,208,85,6,1,3,1,1,1,0,0,0,0
20212022,NYR,E,M,110,82,52,24,6,0.670732,254,207,47,7,2,4,1,2,1,1,0,0,0
20212022,TBL,E,A,110,82,51,23,8,0.670732,287,233,54,8,3,5,1,3,1,1,1,0,0
20212022,STL,W,C,109,82,49,22,11,0.664634,311,242,69,9,3,4,1,1,1,0,0,0,0
20212022,BOS,E,A,107,82,51,26,5,0.652439,255,220,35,10,4,6,1,0,0,0,0,0,0
20212022,EDM,W,P,104,82,49,27,6,0.634146,290,252,38,11,2,5,1,2,1,1,0,0,0
20212022,PIT,E,M,103,82,46,25,11,0.628049,272,229,43,12,3,7,1,0,0,0,0,0,0
20212022,WSH,E,M,100,82,44,26,12,0.609756,275,245,30,13,4,8,1,0,0,0,0,0,0
20212022,LAK,W,P,99,82,44,27,11,0.603659,239,236,3,14,3,6,1,0,0,0,0,0,0
20212022,DAL,W,C,98,82,46,30,6,0.597561,238,246,-8,15,4,7,1,0,0,0,0,0,0
20212022,NSH,W,C,97,82,45,30,7,0.591463,266,252,14,16,5,8,1,0,0,0,0,0,0
20212022,VGK,W,P,94,82,43,31,8,0.573171,266,248,18,17,4,9,0,0,0,0,0,0,0
20212022,VAN,W,P,92,82,40,30,12,0.560976,249,236,13,18,5,10,0,0,0,0,0,0,0
20212022,WPG,W,C,89,82,39,32,11,0.542683,252,257,-5,19,6,11,0,0,0,0,0,0,0
20212022,NYI,E,M,84,82,37,35,10,0.512195,231,237,-6,20,5,9,0,0,0,0,0,0,0
20212022,CBJ,E,M,81,82,37,38,7,0.493902,262,300,-38,21,6,10,0,0,0,0,0,0,0
20212022,SJS,W,P,77,82,32,37,13,0.469512,214,264,-50,22,6,12,0,0,0,0,0,0,0
20212022,ANA,W,P,76,82,31,37,14,0.463415,232,271,-39,23,7,13,0,0,0,0,0,0,0
20212022,BUF,E,A,75,82,32,39,11,0.457317,232,290,-58,24,5,11,0,0,0,0,0,0,0
20212022,DET,E,A,74,82,32,40,10,0.45122,230,312,-82,25,6,12,0,0,0,0,0,0,0
20212022,OTT,E,A,73,82,33,42,7,0.445122,227,266,-39,26,7,13,0,0,0,0,0,0,0
20212022,CHI,W,C,68,82,28,42,12,0.414634,219,291,-72,27,7,14,0,0,0,0,0,0,0
20212022,NJD,E,M,63,82,27,46,9,0.384146,248,307,-59,28,7,14,0,0,0,0,0,0,0
20212022,PHI,E,M,61,82,25,46,11,0.371951,211,298,-87,29,8,15,0,0,0,0,0,0,0
20212022,SEA,W,P,60,82,27,49,6,0.365854,216,285,-69,30,8,15,0,0,0,0,0,0,0
20212022,ARI,W,C,57,82,25,50,7,0.347561,207,313,-106,31,8,16,0,0,0,0,0,0,0
20212022,MTL,E,A,55,82,22,49,11,0.335366,221,319,-98,32,8,16,0,0,0,0,0,0,0
20222023,BOS,E,A,135,82,65,12,5,0.823171,305,177,128,1,1,1,1,0,0,0,0,0,0
20222023,CAR,E,M,113,82,52,21,9,0.689024,266,213,53,2,1,2,1,2,1,1,0,0,0
20222023,NJD,E,M,112,82,52,22,8,0.682927,291,226,65,3,2,3,1,1,1,0,0,0,0
20222023,TOR,E,A,111,82,50,21,11,0.676829,279,222,57,4,2,4,1,1,1,0,0,0,0
20222023,VGK,W,P,111,82,51,22,9,0.676829,272,229,43,5,1,1,1,4,1,1,1,1,1
20222023,EDM,W,P,109,82,50,23,9,0.664634,325,260,65,6,2,2,1,1,1,0,0,0,0
20222023,COL,W,C,109,82,51,24,7,0.664634,280,226,54,7,1,3,1,0,0,0,0,0,0
20222023,DAL,W,C,108,82,47,21,14,0.658537,285,218,67,8,2,4,1,2,1,1,0,0,0
20222023,NYR,E,M,107,82,47,22,13,0.652439,277,219,58,9,3,5,1,0,0,0,0,0,0
20222023,LAK,W,P,104,82,47,25,10,0.634146,280,257,23,10,3,5,1,0,0,0,0,0,0
20222023,MIN,W,C,103,82,46,25,11,0.628049,246,225,21,11,3,6,1,0,0,0,0,0,0
20222023,SEA,W,P,100,82,46,28,8,0.609756,289,256,33,12,4,7,1,1,1,0,0,0,0
20222023,TBL,E,A,98,82,46,30,6,0.597561,283,254,29,13,3,6,1,0,0,0,0,0,0
20222023,WPG,W,C,95,82,46,33,3,0.579268,247,225,22,14,4,8,1,0,0,0,0,0,0
20222023,NYI,E,M,93,82,42,31,9,0.567073,243,222,21,15,4,7,1,0,0,0,0,0,0
20222023,CGY,W,P,93,82,38,27,17,0.567073,260,252,8,16,5,9,0,0,0,0,0,0,0
20222023,FLA,E,A,92,82,42,32,8,0.560976,290,273,17,17,4,8,1,3,1,1,1,0,0
20222023,NSH,W,C,92,82,42,32,8,0.560976,229,238,-9,18,5,10,0,0,0,0,0,0,0
20222023,PIT,E,M,91,82,40,31,11,0.554878,262,264,-2,19,5,9,0,0,0,0,0,0,0
20222023,BUF,E,A,91,82,42,33,7,0.554878,296,300,-4,20,5,10,0,0,0,0,0,0,0
20222023,OTT,E,A,86,82,39,35,8,0.52439,261,271,-10,21,6,11,0,0,0,0,0,0,0
20222023,VAN,W,P,83,82,38,37,7,0.506098,276,298,-22,22,6,11,0,0,0,0,0,0,0
20222023,STL,W,C,81,82,37,38,7,0.493902,263,301,-38,23,6,12,0,0,0,0,0,0,0
20222023,DET,E,A,80,82,35,37,10,0.487805,240,279,-39,24,7,12,0,0,0,0,0,0,0
20222023,WSH,E,M,80,82,35,37,10,0.487805,255,265,-10,25,6,13,0,0,0,0,0,0,0
